Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
3.62188;Origin: (0.258, 1.580, 0.338), Dir: (-0.034, 0.089, 0.995);Origin: (0.196, 1.582, 0.327), Dir: (-0.428, 0.357, 0.830);(0.227, 1.581, 0.332);(-0.183, -0.085, -0.034, 0.979);
3.65457;Origin: (0.260, 1.580, 0.334), Dir: (-0.033, 0.090, 0.995);Origin: (0.198, 1.582, 0.323), Dir: (-0.428, 0.358, 0.830);(0.229, 1.581, 0.328);(-0.183, -0.084, -0.034, 0.979);
3.68212;Origin: (0.260, 1.580, 0.333), Dir: (-0.033, 0.089, 0.995);Origin: (0.198, 1.582, 0.321), Dir: (-0.427, 0.357, 0.831);(0.229, 1.581, 0.327);(-0.183, -0.084, -0.035, 0.979);
3.75103;Origin: (0.261, 1.579, 0.332), Dir: (-0.032, 0.089, 0.996);Origin: (0.199, 1.582, 0.321), Dir: (-0.426, 0.357, 0.831);(0.230, 1.581, 0.326);(-0.183, -0.083, -0.035, 0.979);
3.77319;Origin: (0.261, 1.579, 0.331), Dir: (-0.031, 0.089, 0.996);Origin: (0.199, 1.582, 0.320), Dir: (-0.425, 0.357, 0.831);(0.230, 1.581, 0.326);(-0.183, -0.083, -0.034, 0.979);
3.79580;Origin: (0.261, 1.579, 0.331), Dir: (-0.029, 0.089, 0.996);Origin: (0.199, 1.582, 0.320), Dir: (-0.424, 0.357, 0.832);(0.230, 1.581, 0.325);(-0.183, -0.082, -0.035, 0.979);
3.82678;Origin: (0.261, 1.579, 0.331), Dir: (-0.029, 0.089, 0.996);Origin: (0.199, 1.582, 0.320), Dir: (-0.424, 0.358, 0.832);(0.230, 1.581, 0.325);(-0.183, -0.082, -0.034, 0.979);
3.85463;Origin: (0.261, 1.579, 0.331), Dir: (-0.030, 0.090, 0.996);Origin: (0.199, 1.582, 0.320), Dir: (-0.425, 0.358, 0.832);(0.230, 1.581, 0.325);(-0.183, -0.082, -0.034, 0.979);
3.91836;Origin: (0.261, 1.580, 0.331), Dir: (-0.030, 0.090, 0.995);Origin: (0.199, 1.582, 0.320), Dir: (-0.425, 0.358, 0.831);(0.230, 1.581, 0.325);(-0.183, -0.083, -0.034, 0.979);
3.93941;Origin: (0.260, 1.580, 0.331), Dir: (-0.030, 0.091, 0.995);Origin: (0.198, 1.582, 0.320), Dir: (-0.425, 0.358, 0.831);(0.229, 1.581, 0.325);(-0.183, -0.083, -0.034, 0.979);
3.96965;Origin: (0.260, 1.580, 0.331), Dir: (-0.029, 0.091, 0.995);Origin: (0.198, 1.582, 0.320), Dir: (-0.425, 0.358, 0.831);(0.229, 1.581, 0.326);(-0.184, -0.082, -0.033, 0.979);
3.99637;Origin: (0.260, 1.580, 0.332), Dir: (-0.028, 0.091, 0.995);Origin: (0.198, 1.582, 0.321), Dir: (-0.424, 0.358, 0.832);(0.229, 1.581, 0.326);(-0.183, -0.082, -0.033, 0.979);
4.02626;Origin: (0.260, 1.580, 0.332), Dir: (-0.027, 0.090, 0.996);Origin: (0.198, 1.582, 0.321), Dir: (-0.424, 0.357, 0.832);(0.229, 1.581, 0.326);(-0.183, -0.081, -0.033, 0.979);
4.10738;Origin: (0.260, 1.580, 0.332), Dir: (-0.027, 0.090, 0.996);Origin: (0.198, 1.582, 0.321), Dir: (-0.423, 0.357, 0.833);(0.229, 1.581, 0.326);(-0.183, -0.081, -0.033, 0.979);
4.13012;Origin: (0.260, 1.580, 0.332), Dir: (-0.025, 0.090, 0.996);Origin: (0.198, 1.582, 0.321), Dir: (-0.421, 0.357, 0.834);(0.229, 1.581, 0.326);(-0.183, -0.080, -0.033, 0.979);
